    date        open    close   high    low     volume  money
2022-09-22  4509.0  4499.0  4525.0  4464.0      73.0  4.926945e+06
2022-09-23  4561.0  4564.0  4577.0  4526.0      46.0  3.141945e+06
2022-09-26  4489.0  4387.0  4489.0  4371.0     234.0  1.560212e+07
2022-09-27  4423.0  4385.0  4441.0  4362.0      73.0  4.811085e+06
2022-09-28  4393.0  4320.0  4403.0  4311.0      66.0  4.309470e+06
2022-09-29  4353.0  4409.0  4454.0  4344.0      95.0  6.273210e+06
2022-09-30  4415.0  4440.0  4440.0  4400.0      19.0  1.258785e+06
2022-10-10  4603.0  4560.0  4603.0  4531.0     471.0  3.216783e+07
2022-10-11  4587.0  4538.0  4590.0  4538.0      88.0  6.014430e+06
2022-10-12  4538.0  4508.0  4556.0  4367.0     169.0  1.143072e+07
2022-10-13  4493.0  4460.0  4493.0  4460.0      43.0  2.886570e+06
2022-10-14  4449.0  4469.0  4482.0  4418.0     504.0  3.362216e+07
2022-10-17  4456.0  4402.0  4456.0  4385.0     269.0  1.786312e+07
2022-10-18  4462.0  4447.0  4462.0  4418.0      69.0  4.594995e+06
2022-10-19  4443.0  4419.0  4453.0  4416.0     250.0  1.658446e+07
2022-10-20  4414.0  4396.0  4425.0  4386.0     271.0  1.785924e+07
2022-10-21  4416.0  4411.0  4462.0  4405.0      59.0  3.929640e+06
2022-10-24  4423.0  4560.0  4574.0  4423.0     166.0  1.128578e+07
2022-10-25  4561.0  4598.0  4598.0  4551.0      81.0  5.555145e+06
2022-10-26  4541.0  4650.0  4650.0  4541.0     117.0  8.096115e+06
2022-10-27  4611.0  4585.0  4627.0  4450.0      49.0  3.378540e+06
2022-10-28  4585.0  4605.0  4633.0  4585.0    1296.0  8.915391e+07
2022-10-31  4574.0  4548.0  4594.0  4525.0    1372.0  9.337294e+07
2022-11-01  4548.0  4649.0  4660.0  4526.0    1033.0  7.054558e+07
2022-11-02  4671.0  4662.0  4700.0  4625.0     115.0  8.047110e+06
2022-11-03  4699.0  4602.0  4705.0  4602.0     342.0  2.366829e+07
2022-11-04  4569.0  4650.0  4673.0  4569.0      41.0  2.846130e+06
2022-11-07  4731.0  4769.0  4792.0  4718.0     242.0  1.725561e+07
2022-11-08  4769.0  4832.0  4883.0  4769.0     790.0  5.679284e+07
2022-11-09  4842.0  4984.0  5017.0  4842.0     278.0  2.062492e+07
2022-11-10  4962.0  4955.0  5031.0  4932.0     281.0  2.089510e+07
2022-11-11  4953.0  5031.0  5067.0  4953.0     147.0  1.109264e+07
2022-11-14  5031.0  4919.0  5031.0  4891.0    1476.0  1.110546e+08
2022-11-15  4937.0  5002.0  5020.0  4937.0     610.0  4.575138e+07
2022-11-16  5000.0  4960.0  5028.0  4925.0     361.0  2.702220e+07
2022-11-17  4996.0  4952.0  5012.0  4920.0     655.0  4.862548e+07
2022-11-18  4925.0  4916.0  4933.0  4864.0     551.0  4.054416e+07
2022-11-21  4916.0  4856.0  4921.0  4843.0    1234.0  9.039243e+07
2022-11-22  4840.0  4895.0  4916.0  4838.0     128.0  9.369825e+06
2022-11-23  4906.0  4901.0  4913.0  4877.0      54.0  3.962535e+06
2022-11-24  4916.0  5004.0  5022.0  4902.0     725.0  5.436602e+07
2022-11-25  4999.0  4989.0  5004.0  4970.0      41.0  3.068460e+06
2022-11-28  4988.0  4970.0  4995.0  4953.0    1089.0  8.146970e+07
2022-11-29  4985.0  4963.0  5043.0  4944.0    3301.0  2.469680e+08
2022-11-30  4974.0  4966.0  5001.0  4959.0    1202.0  8.955219e+07
2022-12-01  4991.0  5130.0  5140.0  4981.0    2131.0  1.621617e+08
2022-12-02  5127.0  5256.0  5263.0  5118.0     610.0  4.759814e+07
2022-12-05  5214.0  5263.0  5380.0  5178.0     580.0  4.616210e+07
2022-12-06  5257.0  5139.0  5257.0  5134.0     236.0  1.834560e+07
2022-12-07  5166.0  5126.0  5167.0  5100.0     145.0  1.116324e+07
2022-12-08  5143.0  5192.0  5203.0  5127.0     350.0  2.716989e+07
2022-12-09  5192.0  5286.0  5312.0  5192.0    5353.0  4.173026e+08
2022-12-12  5286.0  5343.0  5379.0  5273.0    5484.0  4.354540e+08
2022-12-13  5330.0  5364.0  5371.0  5291.0    1218.0  9.717279e+07
2022-12-14  5362.0  5442.0  5473.0  5351.0    1496.0  1.219071e+08
2022-12-15  5415.0  5328.0  5468.0  5295.0    2144.0  1.726763e+08
2022-12-16  5314.0  5250.0  5346.0  5209.0    2127.0  1.681334e+08
2022-12-19  5242.0  5269.0  5312.0  5215.0     726.0  5.738300e+07
2022-12-20  5274.0  5263.0  5300.0  5220.0    1194.0  9.411242e+07
2022-12-21  5344.0  5412.0  5475.0  5323.0    1232.0  9.989562e+07
2022-12-22  5416.0  5356.0  5449.0  5354.0     422.0  3.427610e+07
2022-12-23  5376.0  5338.0  5384.0  5286.0    1112.0  8.886602e+07
2022-12-26  5350.0  5365.0  5384.0  5331.0    1205.0  9.686770e+07
2022-12-27  5361.0  5437.0  5449.0  5358.0     775.0  6.263847e+07
2022-12-28  5427.0  5410.0  5445.0  5379.0     418.0  3.391852e+07
2022-12-29  5399.0  5333.0  5405.0  5304.0    3746.0  3.000448e+08
2022-12-30  5350.0  5411.0  5422.0  5350.0     840.0  6.776266e+07
2023-01-03  5417.0  5439.0  5449.0  5355.0    2131.0  1.726321e+08
2023-01-04  5429.0  5384.0  5450.0  5362.0    1626.0  1.316118e+08
2023-01-05  5388.0  5252.0  5421.0  5252.0    2001.0  1.599317e+08
2023-01-06  5232.0  5196.0  5246.0  5163.0    1940.0  1.513667e+08
2023-01-09  5195.0  5296.0  5318.0  5186.0    1057.0  8.336486e+07
2023-01-10  5282.0  5227.0  5301.0  5203.0     957.0  7.526582e+07
2023-01-11  5218.0  5289.0  5300.0  5201.0    2054.0  1.612749e+08
2023-01-12  5289.0  5234.0  5289.0  5175.0    1818.0  1.425344e+08
2023-01-13  5234.0  5238.0  5313.0  5215.0    4177.0  3.292189e+08
2023-01-16  5223.0  5344.0  5381.0  5199.0    2424.0  1.929814e+08
2023-01-17  5323.0  5327.0  5377.0  5290.0    1123.0  8.981216e+07
2023-01-18  5340.0  5321.0  5356.0  5295.0    1511.0  1.206332e+08
2023-01-19  5337.0  5187.0  5365.0  5170.0    9786.0  7.717172e+08
2023-01-20  5194.0  5329.0  5337.0  5150.0    2993.0  2.354403e+08
2023-01-30  5293.0  5256.0  5293.0  5229.0    2487.0  1.957748e+08
2023-01-31  5256.0  5208.0  5268.0  5195.0    3863.0  3.034464e+08
2023-02-01  5170.0  5244.0  5259.0  5167.0    6519.0  5.100673e+08
2023-02-02  5220.0  5320.0  5367.0  5193.0    6017.0  4.760055e+08
2023-02-03  5379.0  5219.0  5451.0  5205.0    7360.0  5.841166e+08
2023-02-06  5218.0  5044.0  5220.0  5028.0    7649.0  5.854135e+08
2023-02-07  5044.0  5028.0  5054.0  5007.0    3607.0  2.724262e+08
2023-02-08  5021.0  5014.0  5044.0  4984.0    5319.0  4.001308e+08
2023-02-09  5029.0  5024.0  5045.0  5002.0    3217.0  2.423468e+08
2023-02-10  5019.0  4949.0  5065.0  4925.0    5203.0  3.891989e+08
2023-02-13  4972.0  4959.0  4999.0  4943.0    2974.0  2.215340e+08
2023-02-14  4970.0  4963.0  4978.0  4939.0    2247.0  1.672439e+08
2023-02-15  4939.0  4934.0  4986.0  4912.0    2628.0  1.950171e+08
2023-02-16  4907.0  4939.0  4961.0  4900.0    2933.0  2.168820e+08
2023-02-17  4939.0  4901.0  4955.0  4893.0    2619.0  1.931370e+08
2023-02-20  4901.0  4983.0  4999.0  4898.0    2600.0  1.931443e+08
2023-02-21  4980.0  4984.0  5005.0  4974.0    1829.0  1.368437e+08
2023-02-22  4991.0  5010.0  5032.0  4990.0    4894.0  3.673241e+08
2023-02-23  5023.0  4978.0  5033.0  4974.0    2058.0  1.542524e+08
2023-02-24  4981.0  4967.0  4997.0  4955.0    2220.0  1.656189e+08
2023-02-27  4944.0  4889.0  4956.0  4873.0   33934.0  2.498998e+09
2023-02-28  4896.0  4895.0  4914.0  4884.0   40835.0  3.001304e+09
2023-03-01  4886.0  4954.0  4962.0  4884.0   48895.0  3.614285e+09
2023-03-02  4946.0  4907.0  4953.0  4904.0   51594.0  3.815400e+09
2023-03-03  4905.0  4949.0  4959.0  4898.0   46959.0  3.469902e+09
2023-03-06  4950.0  4997.0  5006.0  4938.0   69719.0  5.206464e+09
2023-03-07  4990.0  4967.0  5003.0  4964.0   42677.0  3.191072e+09
2023-03-08  4952.0  4802.0  4953.0  4777.0   83437.0  6.077610e+09
2023-03-09  4822.0  4802.0  4834.0  4795.0   57099.0  4.119105e+09
2023-03-10  4815.0  4796.0  4849.0  4780.0   70246.0  5.075940e+09
2023-03-13  4820.0  4933.0  4950.0  4812.0  122324.0  8.985473e+09
2023-03-14  5058.0  5075.0  5088.0  5022.0  107034.0  8.112443e+09
2023-03-15  5070.0  5076.0  5085.0  5045.0   86524.0  6.578566e+09
2023-03-16  5200.0  5062.0  5200.0  5054.0  110086.0  8.413076e+09
2023-03-17  5099.0  5078.0  5100.0  4988.0   84746.0  6.416124e+09
2023-03-20  5081.0  5165.0  5193.0  5073.0  102212.0  7.864645e+09
2023-03-21  5141.0  5151.0  5189.0  5092.0   85889.0  6.630287e+09
2023-03-22  5153.0  5168.0  5169.0  5104.0  102263.0  7.875698e+09
2023-03-23  5143.0  5204.0  5247.0  5132.0  119399.0  9.300982e+09
2023-03-24  5200.0  5235.0  5265.0  5181.0  106775.0  8.363976e+09
2023-03-27  5297.0  5216.0  5323.0  5185.0  156162.0  1.228368e+10
2023-03-28  5181.0  5197.0  5230.0  5181.0   73679.0  5.751635e+09
2023-03-29  5222.0  5229.0  5270.0  5203.0   66915.0  5.257114e+09
2023-03-30  5254.0  5311.0  5312.0  5234.0   63199.0  4.993725e+09
2023-03-31  5330.0  5359.0  5363.0  5277.0   83733.0  6.688298e+09
2023-04-03  5373.0  5312.0  5386.0  5294.0   91655.0  7.352004e+09
2023-04-04  5356.0  5371.0  5390.0  5332.0   81611.0  6.560721e+09
2023-04-06  5521.0  5568.0  5580.0  5492.0   58078.0  4.830720e+09
2023-04-07  5565.0  5616.0  5620.0  5512.0   94793.0  7.917926e+09
2023-04-10  5605.0  5544.0  5605.0  5526.0   74515.0  6.210489e+09
2023-04-11  5545.0  5591.0  5616.0  5531.0   88688.0  7.399628e+09
2023-04-12  5583.0  5688.0  5707.0  5568.0  110663.0  9.366301e+09
2023-04-13  5750.0  5704.0  5750.0  5642.0  146328.0  1.248447e+10
